기준_년분기_코드,행정동_코드_x,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20243,11110560,평창동,HH,정체,117,61,107,52,838168,360187,477981,149827,82461,89303,122697,147528,246351,242430,176307,87964,86629,129397,115440,117466,118774,118844,118663,117186,122305,124931,4504006,8,985153000,291395000,20240000,9473000,105507000,57204000,56705000,7487000,64160000,35579000,337403000
20244,11110560,평창동,HH,정체,119,61,109,52,887229,384009,503219,161230,88698,91739,132535,156383,256644,257777,186380,92963,91476,136493,122141,124019,124465,126496,125643,124277,130074,132257,4504006,8,2751398000,763682000,58086000,56905000,275505000,151880000,191145000,16713000,157365000,103473000,976644000
20241,11110570,무악동,HH,정체,111,61,103,52,1834716,804278,1030437,354186,205481,219631,290662,288442,476313,432198,399026,238221,235666,306720,222887,262333,263975,260141,264729,264007,261576,257952,5136717,9,935962000,85141000,609000,29000,739895000,893000,17245000,2543000,13479000,20702000,55426000
20242,11110570,무악동,HH,정체,112,61,105,52,1764539,777881,986658,326774,197146,218321,280797,272616,468885,417275,386638,224025,225416,295513,215672,248444,251765,255437,254806,252258,253573,248258,5136717,9,3017003000,295118000,2148000,0,2354929000,3904000,51512000,11015000,50446000,68858000,179073000
20243,11110570,무악동,HH,정체,113,62,107,52,1863501,824641,1038860,337326,219884,228347,290700,285737,501506,456605,400831,229185,231867,311247,233767,263652,268320,270241,269944,267339,263305,260698,5136717,9,1120563000,105602000,143000,0,889713000,1676000,18903000,3318000,19139000,24556000,57513000
20244,11110570,무악동,HH,정체,115,62,109,52,1752038,773789,978249,330942,195815,215214,273358,268373,468335,430008,372944,213383,215826,294191,225687,244583,250518,253341,248273,249095,255322,250907,5136717,9,3358936000,280813000,2341000,0,2732456000,3533000,43954000,7287000,43125000,79887000,165540000
20241,11110580,교남동,LH,상권확장,87,56,103,52,3968394,1802873,2165519,825756,472352,518691,692564,608784,850246,1145156,872829,443559,420941,579406,506503,559177,572548,560998,565667,557823,568732,583447,4616890,8,807482000,134759000,13146000,1114000,368418000,1316000,70946000,18852000,15093000,26381000,157457000
20242,11110580,교남동,LH,상권확장,90,56,105,52,3947004,1821802,2125203,820611,467556,517938,690624,605745,844528,1130693,849331,437621,425569,593865,509926,561936,558319,565159,561556,555538,564461,580036,4616890,8,2485082000,403713000,47035000,5167000,1210423000,3081000,206201000,18839000,58416000,62706000,469501000
20243,11110580,교남동,LH,상권확장,91,57,107,52,3921696,1800934,2120762,810933,478335,501503,691520,610999,828406,1096325,830515,441551,438905,601390,513013,561821,561034,562365,561468,556562,554098,564350,4616890,8,918615000,146190000,8272000,320000,470443000,1215000,74936000,13523000,19565000,22651000,161500000
20244,11110580,교남동,LH,상권확장,93,57,109,52,4149031,1921091,2227941,860950,494485,542673,728481,638015,884427,1144415,891686,478047,463966,633054,537862,591367,598056,598983,598228,587330,583798,591270,4616890,8,2602831000,373862000,36063000,1711000,1386969000,15045000,179537000,27317000,42328000,81031000,458968000
